accession	description
"SRR10428156"	"Illumina HiSeq 2500 sequencing: Naja naja Illumina whole genome sequencing"
"SRR10423818"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423822"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423823"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423839"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423852"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423853"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423856"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423859"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423880"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423885"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10420849"	"Illumina HiSeq 2500 sequencing: Naja naja Dovetail Chicago sequencing Library"
"SRR10423795"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423796"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423805"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423827"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423828"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423829"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423833"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423864"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423869"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423870"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423886"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10428159"	"Illumina HiSeq 2500 sequencing: Naja naja Illumina whole genome sequencing"
"SRR10428160"	"Illumina HiSeq 2500 sequencing: Naja naja Illumina whole genome sequencing"
"SRR10428161"	"Illumina HiSeq 2500 sequencing: Naja naja Illumina whole genome sequencing"
"SRR10419131"	"Illumina HiSeq 2500 sequencing: Naja naja 10x genome sequencing library"
"SRR10423797"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423799"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423801"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423807"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423809"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423811"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423812"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423813"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423814"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423815"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423821"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423824"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423830"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423831"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423834"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423838"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423842"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423845"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423847"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423848"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423849"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
"SRR10423854"	"Illumina HiSeq 2500 sequencing: Naja naja Single Chromosome sequencing library"
